"VendorID","lpep_pickup_datetime","Lpep_dropoff_datetime","Store_and_fwd_flag","RateCodeID","Pickup_longitude","Pickup_latitude","Dropoff_longitude","Dropoff_latitude","Passenger_count","Trip_distance","Fare_amount","Extra","MTA_tax","Tip_amount","Tolls_amount","Ehail_fee","improvement_surcharge","Total_amount","Payment_type","Trip_type ","PULocationID","DOLocationID"
"2","2016 Jan 01 12:29:24 AM","2016 Jan 01 12:39:36 AM","N","1","-73,92864227295","40,68061065674","-73,92427825928","40,69804382324","1","1,46","8","0,5","0,5","1,86","0",,"0,3","11,16","1","1",,
"2","2016 Jan 01 12:19:39 AM","2016 Jan 01 12:39:18 AM","N","1","-73,95267486572","40,72317504883","-73,92391967773","40,76137924194","1","3,56","15,5","0,5","0,5","0","0",,"0,3","16,8","2","1",,
"2","2016 Jan 01 12:19:33 AM","2016 Jan 01 12:39:48 AM","N","1","-73,97161102295","40,67610549927","-74,01316070557","40,6460723877","1","3,79","16,5","0,5","0,5","4,45","0",,"0,3","22,25","1","1",,
"2","2016 Jan 01 12:22:12 AM","2016 Jan 01 12:38:32 AM","N","1","-73,98950195313","40,66957855225","-74,00064849854","40,6890335083","1","3,01","13,5","0,5","0,5","0","0",,"0,3","14,8","2","1",,
